firstname,lastname,city,year,ethnicity
Monica,Wilson,Antioch,2020,white
Tamisha,Torres-Walker,Antioch,2022,hispanic
Monica,Wilson,Antioch,2022,white
Art,Bishop,Apple Valley,2012,white
Larry,Cusack,Apple Valley,2012,white
Barb,Stanton,Apple Valley,2014,white
Scott,Nassif,Apple Valley,2014,white
Curt,Emick,Apple Valley,2014,white
Art,Bishop,Apple Valley,2016,white
Larry,Cusack,Apple Valley,2016,white
Curt,Emick,Apple Valley,2018,white
Kari,Leon,Apple Valley,2018,hispanic
Scott,Nassif,Apple Valley,2018,white
Larry,Cusack,Apple Valley,2020,white
Art,Bishop,Apple Valley,2020,white
Kari,Leon,Apple Valley,2022,hispanic
Curt,Emick,Apple Valley,2022,white
Peter,Amundson,ARCADIA,2010,black
Bob,Harbicht,ARCADIA,2010,white
Mark,Segal,ARCADIA,2010,white
John,Wou,Arcadia,2012,asian
Gary,Kovacic,Arcadia,2012,white
Tom,Beck,Arcadia,2014,white
Sho,Tay,Arcadia,2014,asian
Roger,Chandler,Arcadia,2014,white
Peter,Amundson,Arcadia,2016,black
April,Verlato,Arcadia,2016,white
Tom,Beck,Arcadia,2018,white
Roger,Chandler,Arcadia,2018,white
Paul,Cheng,Arcadia,2020,asian
April,Verlato,Arcadia,2020,white
Sharon,Kwan,Arcadia,2022,asian
Eileen,Wang,Arcadia,2022,asian
Michael,Cao,Arcadia,2022,asian
Alex,Stillman,ARCATA,2010,white
Mark,Wheetley,ARCATA,2010,white
Susan,Ornelas,Arcata,2012,hispanic
Michael,Winkler,Arcata,2012,white
Shane,Brinton,Arcata,2012,white
Susan,Ornelas,Arcata,2016,hispanic
Michael,Winkler,Arcata,2016,white
Paul,Pitino,Arcata,2016,white
Sofia,Pereire,Arcata,2018,white
Brett,Watson,Arcata,2018,white
Stacy,Atkins-Salazar,Arcata,2020,hispanic
Emily,Goldstein,Arcata,2020,white
Sarah,Schaefer,Arcata,2020,white
Alexandra,Stillman,Arcata,2022,white
Meredith,Matthews,Arcata,2022,white
Kimberley,White,Arcata,2022,white
Sofia,Pereira,Arcata City,2014,hispanic
Mark,Wheetley,Arcata City,2014,white
Paul,Pitino,Arcata City,2014,white
Joel,Archer,ARDEN ARCADE - PROPOSED,2010,white
Jay,Boatwright,ARDEN ARCADE - PROPOSED,2010,white
Patricia,Cole,ARDEN ARCADE - PROPOSED,2010,black
Matt,Gray,ARDEN ARCADE - PROPOSED,2010,white
Warren,Harding,ARDEN ARCADE - PROPOSED,2010,white
Anthony,Hernandez,ARDEN ARCADE - PROPOSED,2010,hispanic
Mary,Ose,ARDEN ARCADE - PROPOSED,2010,white
Tim,Brown,ARROYO GRANDE,2010,black
Joe,Costello,ARROYO GRANDE,2010,white
Barbara,Harmon,Arroyo Grande,2014,white
Tim,Brown,Arroyo Grande,2014,black
Caren,Ray,Arroyo Grande,2016,white
Kristen,Barneich,Arroyo Grande,2016,white
Jimmy,Paulding,Arroyo Grande,2018,white
Keith,Storton,Arroyo Grande,2018,white
Kathleen,Secrest,Arroyo Grande,2022,white
James,Guthrie,Arroyo Grande,2022,white
Sally,Flowers,Artesia,2013,white
Ali,Taj,Artesia,2013,asian
Victor,Manalo,Artesia,2013,white
Melissa,Ramoso,Artesia,2018,hispanic
Ali,Taj,Artesia,2018,asian
Rene,Trevino,Artesia,2018,hispanic
Monica,Manalo,Artesia,2020,white
Tony,Lima,Artesia,2020,hispanic
Melissa,Ramoso,Artesia,2022,hispanic
Ali,Taj,Artesia,2022,asian
Rene,Trevino,Artesia,2022,hispanic
Jose,Flores,ARVIN,2010,hispanic
Steven,Ojeda,ARVIN,2010,hispanic
Toni,Pichardo,ARVIN,2010,hispanic
Jose,Gurrola Jr.,Arvin,2012,hispanic
Jazmin,Robles,Arvin,2014,hispanic
Jess,Ortiz,Arvin,2014,hispanic
Erika,Madrigal,Arvin,2014,hispanic
Gabriela,Martinez,Arvin,2016,hispanic
Mark,Franetovich,Arvin,2018,white
Jazmin,Robles,Arvin,2018,hispanic
Olivia,Trujillo,Arvin,2018,hispanic
Daniel,"Borreli, Jr.",Arvin,2020,white
Susana,Reyes,Arvin,2022,hispanic
Donny,Horton,Arvin,2022,white
Juan,Murillo,Arvin,2022,hispanic
Tom,O'Malley,ATASCADERO,2010,white
Brian,Sturtevant,ATASCADERO,2010,white
Roberta,Fonzi,Atascadero,2012,white
Bob,Kelley,Atascadero,2012,white
Heather,Moreno,Atascadero,2014,hispanic
Brian,Sturtevant,Atascadero,2014,white
Roberta,Fonzi,Atascadero,2016,white
Charles,Bourbeau,Atascadero,2016,white
Susan,Funk,Atascadero,2018,white
Heather,Newsom,Atascadero,2018,white
Mark,Dariz,Atascadero,2020,hispanic
Charles,Bourbeau,Atascadero,2020,white
Heather,Newsom,Atascadero,2022,white
Susan,Funk,Atascadero,2022,white
Jerry,Carlson,ATHERTON,2010,white
Jim,Dobbie,ATHERTON,2010,white
Bill,Widmer,ATHERTON,2010,white
Elizabeth,Lewis,Atherton,2012,white
Cary,Wiest,Atherton,2012,white
Rick,Degolia,Atherton,2013,white
Rick,Degolia,Atherton,2014,white
Mike,Lempres,Atherton,2014,white
Bill,Widmer,Atherton,2014,white
Diana,Hawkins-Manuelian,Atherton,2020,white
Elizabeth,Lewis,Atherton,2020,white
Rick,Degolia,Atherton,2022,white
Bill,Widmer,Atherton,2022,white
Stacy,Holland,Atherton,2022,white
Craig,Mooneyham,ATWATER,2010,white
Jeff,Rivero,ATWATER,2010,hispanic
Larry,Bergman,Atwater,2012,white
Joe,Rivero,Atwater,2012,hispanic
Brian,Raymond,Atwater,2014,white
James,Vineyard,Atwater,2014,white
Cindy,Vierra,Atwater,2016,hispanic
Paul,Creighton,Atwater,2016,white
Danny,Ambriz,Atwater,2018,hispanic
Brian,Raymond,Atwater,2018,white
John,Cale,Atwater,2020,white
Danny,Ambriz,Atwater,2022,hispanic
Brian,Raymond,Atwater,2022,white
Kevin,Hanley,AUBURN,2010,white
Mike,Holmes,AUBURN,2010,white
Bridget,Powers,AUBURN,2010,white
Keith,Nesbitt,Auburn,2012,white
Bill,Kirby,Auburn,2012,black
Matt,Spokely,Auburn,2014,white
Bridget,Powers,Auburn,2014,white
Daniel,Berlant,Auburn,2014,white
Cheryl,Maki,Auburn,2016,white
Bill,Kirby,Auburn,2016,black
Sandra,Amara,Auburn,2018,black
Daniel,Berlant,Auburn,2018,white
Matt,Spokely,Auburn,2018,white
Rachel,Radell-Harris,Auburn,2020,white
Alice,Calvillo,Auburn,2020,hispanic
Sandra,Amara,Auburn,2022,black
Daniel,Berlant,Auburn,2022,white
Mike,Holmes,Auburn,2022,white
Ralph,"Morrow, Jr.",AVALON,2010,white
Michael,Ponce,AVALON,2010,hispanic
Richard,Hernandez,Avalon,2012,hispanic
Oley,Olsen,Avalon,2012,white
Cinde,MacGugan-Cassidy,Avalon,2014,white
Joe,Sampson,Avalon,2014,white
Richard,Hernandez,Avalon,2016,hispanic
W.F.,Olsen,Avalon,2016,white
Pam,Albers,Avalon,2018,white
Cinde,Macgugan-Cassidy,Avalon,2018,white
Yesenia,De La Rosa,Avalon,2020,hispanic
Lisa,Lavelle,Avalon,2020,white
Michael,Ponce,Avalon,2020,hispanic
Mary,Shickling,Avalon,2022,white
Big,"Gravelle, Jr.",AVENAL,2010,white
Alvaro,Preciado,AVENAL,2010,hispanic
Martin,Maldonado,Avenal,2012,hispanic
W.L.,Woolley,Avenal,2012,white
Harlin,Casida,Avenal,2012,hispanic
Glenda,Wooley,Avenal,2016,white
Rosa,Moreno,Avenal,2016,hispanic
Dagoberto,Ovalle,Avenal,2016,hispanic
Pablo,Hernandez,Avenal,2018,hispanic
Alvaro,Preciado,Avenal,2018,hispanic
Louis,"Gravelle, Jr.",Avenal,2020,white
Ricardo,Verdugo,Avenal,2020,hispanic
Alex,Ramirez,Avenal,2020,hispanic
Alvaro,Preciado,Avenal,2022,hispanic
Pablo,Hernandez,Avenal,2022,hispanic
Angel,Carrillo,Azusa,2011,hispanic
Uriel,Macias,Azusa,2011,hispanic
Robert,Gonzales,Azusa,2013,hispanic
Edward,Alvarez,Azusa,2013,hispanic
Uriel,Macias,Azusa,2015,hispanic
Angel,Carrillo,Azusa,2015,hispanic
Edward,Alvarez,Azusa,2017,hispanic
Robert,Gonzales,Azusa,2017,hispanic
Jesse,Avila,Azusa,2020,hispanic
Uriel,Macias,Azusa,2020,hispanic
Andrew,Mendez,Azusa,2022,hispanic
Edward,Alvarez,Azusa,2022,hispanic
Dennis,Beckwith,Azusa,2022,white
Rudy,"Salas, Jr.",BAKERSFIELD,2010,hispanic
Ken,Weir,BAKERSFIELD,2010,white
David,Couch,BAKERSFIELD,2010,white
Russell,Johnson,BAKERSFIELD,2010,black
Terry,Maxwell,Bakersfield,2012,white
Bob,Smith,Bakersfield,2012,black
Harold,Hanson,Bakersfield,2012,white
Jacquie,Sullivan,Bakersfield,2012,black
P.,Rivera,Bakersfield,2013,hispanic
"P.""Willie""",Rivera,Bakersfield,2014,hispanic
Ken,Weir,Bakersfield,2014,white
Bob,Smith,Bakersfield,2014,black
Chris,Parlier,Bakersfield,2014,white
Andrae,Gonzalez,Bakersfield,2016,hispanic
Jeff,Tkac,Bakersfield,2016,white
Jacquie,Sullivan,Bakersfield,2016,black
Bruce,Freeman,Bakersfield,2017,white
P.,Rivera,Bakersfield,2018,hispanic
Ken,Weir,Bakersfield,2018,white
Bob,Smith,Bakersfield,2018,black
Chris,Parlier,Bakersfield,2018,white
Patty,Gray,Bakersfield,2020,white
Eric,Arias,Bakersfield,2020,hispanic
Andrae,Gonzales,Bakersfield,2020,hispanic
Bruce,Freeman,Bakersfield,2020,white
Eric,Arias,Bakersfield,2022,hispanic
Ken,Weir,Bakersfield,2022,white
Bob,Smith,Bakersfield,2022,black
Manpreet,Kaur,Bakersfield,2022,asian
Monica,Garcia,Baldwin Park,2011,hispanic
Ricardo,Pacheco,Baldwin Park,2011,hispanic
Cruz,Baca,Baldwin Park,2013,hispanic
Susan,Rubio,Baldwin Park,2013,hispanic
Ricardo,Pacheco,Baldwin Park,2015,hispanic
Alejandra,Avila,Baldwin Park,2018,hispanic
Paul,Hernandez,Baldwin Park,2018,hispanic
Daniel,Damian,Baldwin Park,2020,white
Monica,Garcia,Baldwin Park,2020,hispanic
Alejandra,Avila,Baldwin Park,2022,hispanic
Jean,Ayala,Baldwin Park,2022,hispanic
Bob,Botts,BANNING,2010,white
Deborah,Franklin,BANNING,2010,white
Don,Peterson,Banning,2012,white
Art,Welch,Banning,2012,white
Edward,Miller,Banning,2012,white
George,Moyer,Banning,2014,white
Deborah,Franklin,Banning,2014,white
Daniela,Andrade,Banning,2016,hispanic
Don,Peterson,Banning,2016,white
Art,Welch,Banning,2016,white
David,Happe,Banning,2018,white
Colleen,Wallace,Banning,2018,white
Alberto,Sanchez,Banning,2020,hispanic
Mary,Hamlin,Banning,2020,white
Kyle,Pingree,Banning,2020,white
Reuben,Gonzales,Banning,2022,hispanic
Colleen,Wallace,Banning,2022,white
Sheri,Flynn,Banning,2022,white
Julie,Hackbarth-McIntyre,BARSTOW,2010,white
Tim,Silva,BARSTOW,2010,hispanic
Rich,Harpole,Barstow,2012,white
Carmen,Hernandez,Barstow,2012,hispanic
Timothy,Silva,Barstow,2014,hispanic
Merrill,Gracey,Barstow,2014,white
Tim,Silva,Barstow,2018,hispanic
James,Noble,Barstow,2018,white
Barbara,Rose,Barstow,2020,white
Marilyn,Kruse,Barstow,2020,white
Carmen,Hernandez,Barstow,2022,hispanic
James,Noble,Barstow,2022,white
Roger,Berg,BEAUMONT,2010,white
David,Castaldo,BEAUMONT,2010,hispanic
Brian,De Forge,BEAUMONT,2010,white
Brenda,Knight,Beaumont,2012,white
Jeff,Fox,Beaumont,2012,white
Mark,Orozco,Beaumont,2014,hispanic
Lloyd,White,Beaumont,2014,white
Mike,Lara,Beaumont,2014,hispanic
Nancy,Carroll,Beaumont,2016,white
Julio,Martinez,Beaumont,2016,hispanic
Mike,Lara,Beaumont,2018,hispanic
Rey,Santos,Beaumont,2018,hispanic
Lloyd,White,Beaumont,2018,white
David,Fenn,Beaumont,2020,white
Julio,Martinez,Beaumont,2020,hispanic
Mike,Lara,Beaumont,2022,hispanic
Lloyd,White,Beaumont,2022,white
Jessica,Voigt,Beaumont,2022,white
Ali,Saleh,Bell,2011,white
Nestor,Valencia,Bell,2011,hispanic
Violeta,Alvarez,Bell,2011,hispanic
Ana,Quintana,Bell,2011,hispanic
Danny,Harber,Bell,2011,white
Ana,Quintana,Bell,2013,hispanic
Alicia,Romero,Bell,2013,hispanic
Ali,Saleh,Bell,2015,white
Fidencio,Gallardo,Bell,2015,hispanic
Nestor,Valencia,Bell,2015,hispanic
Ana,Quintana,Bell,2017,hispanic
Alicia,Romero,Bell,2017,hispanic
Monica,Arroyo,Bell,2020,hispanic
Ali,Saleh,Bell,2020,white
Fidencio,Gallardo,Bell,2020,hispanic
Ana,Quintana,Bell,2022,hispanic
Alicia,Romero,Bell,2022,hispanic
Jennifer,Rodriguez,Bell Gardens,2011,hispanic
Pedro,Aceituno,Bell Gardens,2011,hispanic
Daniel,Crespo,Bell Gardens,2013,hispanic
Priscilla,Flores,Bell Gardens,2013,hispanic
Jose,Mendoza,Bell Gardens,2013,hispanic
Marco,Barcena,Bell Gardens,2018,hispanic
Alejandra,Cortez,Bell Gardens,2018,hispanic
Lisseth,Flores,Bell Gardens,2018,hispanic
Jorgel,Chavez,Bell Gardens,2020,hispanic
Maria,Pulido,Bell Gardens,2020,hispanic
Alejandra,Cortez,Bell Gardens,2022,hispanic
Marco,Barcena,Bell Gardens,2022,hispanic
Francis,Sanchez,Bell Gardens,2022,hispanic
C.,Santa Ines,Bellflower,2011,hispanic
Raymond,Dunton,Bellflower,2011,white
Randy,Bomgaars,Bellflower,2011,white
Dan,Koops,Bellflower,2013,white
Scott,Larsen,Bellflower,2013,white
Ron,Schnablegger,Bellflower,2013,white
Juan,Garza,Bellflower,2017,hispanic
Dan,Koops,Bellflower,2017,white
Victor,Sanchez,Bellflower,2020,hispanic
Raymond,Hamada,Bellflower,2022,white
Ray,Dunton,Bellflower,2022,white
David,Braunstein,Belmont,2011,white
Christine,Wozniak,Belmont,2011,white
Eric,Reed,Belmont,2013,white
Charles,Stone,Belmont,2013,black
Warren,Lieberman,Belmont,2013,white
Doug,Kim,Belmont,2015,asian
Davina,Hurt,Belmont,2015,white
Warren,Lieberman,Belmont,2018,white
Julia,Mates,Belmont,2018,white
Charles,Stone,Belmont,2018,black
Davina,Hurt,Belmont,2020,white
Tom,McCune,Belmont,2020,white
Gina,Latimerlo,Belmont,2022,white
Robin,Pang-Maganaris,Belmont,2022,hispanic
Siavash,Barmand,BELVEDERE,2010,white
Thomas,Cromwell,BELVEDERE,2010,white
Bob,McCaskill,Belvedere,2012,white
Claire,McAuliffe,Belvedere,2012,white
Sandra,Donnell,Belvedere,2012,white
James,Campbell,Belvedere,2014,white
Bob,McCaskill,Belvedere,2016,white
Claire,McAuliffe,Belvedere,2016,white
Nancy,Kemnitzer,Belvedere,2016,white
James,Campbell,Belvedere,2018,white
Steve,Block,Belvedere,2020,white
James,Lynch,Belvedere,2020,white
Nancy,Kemnitzer,Belvedere,2020,white
Peter,Mark,Belvedere,2022,white
Jane,Cooper,Belvedere,2022,white
Sally,Wilkinson,Belvedere,2022,white
Tom,Campbell,Benicia,2011,white
Christina,Strawbridge,Benicia,2011,white
Mark,Hughes,Benicia,2014,white
Alan,Schwartzman,Benicia,2014,white
Steve,Young,Benicia,2016,white
Tom,Campbell,Benicia,2016,white
Lionel,Largaespada,Benicia,2018,hispanic
Christina,Strawbridge,Benicia,2018,white
Trevor,Macenski,Benicia,2020,white
Tom,Campbell,Benicia,2020,white
Terry,Scott,Benicia,2022,white
Kari,Birdseye,Benicia,2022,white
Darryl,Moore,Berkeley,2012,white
Max,Anderson,Berkeley,2012,white
Laurie,Capitelli,Berkeley,2012,white
Susan,Wengraf,Berkeley,2012,white
Linda,Maio,Berkeley,2014,white
Jesse,Arreguin,Berkeley,2014,hispanic
Kriss,Worthington,Berkeley,2014,white
Lori,Droste,Berkeley,2014,white
Darryl,Moore,Berkeley,2016,white
Ben,Bartlett,Berkeley,2016,white
Sophie,Hahn,Berkeley,2016,white
Susan,Wengraf,Berkeley,2016,white
Kate,Harrison,Berkeley,2017,white
Rashi,Kesarwani,Berkeley,2018,asian
Kate,Harrison,Berkeley,2018,white
Rigel,Robinson,Berkeley,2018,black
Lori,Droste,Berkeley,2018,white
Terry,Taplin,Berkeley,2020,white
Ben,Bartlett,Berkeley,2020,white
Sophie,Hahn,Berkeley,2020,white
Susan,Wengraf,Berkeley,2020,white
Rashi,Kesarwani,Berkeley,2022,asian
Kate,Harrison,Berkeley,2022,white
Rigel,Robinson,Berkeley,2022,black
Mark,Humbert,Berkeley,2022,white
Linda,Maio,BERKELEY - RCV,2010,white
Jesse,Arreguin,BERKELEY - RCV,2010,hispanic
Kriss,Worthington,BERKELEY - RCV,2010,white
Gordon,Wozniak,BERKELEY - RCV,2010,white
Lili,Bosse,Beverly Hills,2011,white
Julian,Gold,Beverly Hills,2011,white
John,Mirisch,Beverly Hills,2013,white
William,Brien,Beverly Hills,2013,white
Nancy,Krasne,Beverly Hills,2013,white
Les,Friedman,Beverly Hills,2017,white
John,Mirisch,Beverly Hills,2017,white
Robert,Wunderlich,Beverly Hills,2017,white
Lili,Bosse,Beverly Hills,2020,white
Julian,Gold,Beverly Hills,2020,white
Lester,Friedman,Beverly Hills,2022,white
Sharona,Nazarian,Beverly Hills,2022,white
John,Mirisch,Beverly Hills,2022,white
David,Caretto,BIG BEAR LAKE,2010,white
Rick,Herrick,BIG BEAR LAKE,2010,white
Jay,Obernolte,BIG BEAR LAKE,2010,white
Robert,Jackowksi,Big Bear Lake,2012,white
William,Jahn,Big Bear Lake,2012,white
Alan,Lee,Big Bear Lake,2020,asian
Bynette,Mote,Big Bear Lake,2020,white
Rick,Herrick,Big Bear Lake,2022,white
Randall,Putz,Big Bear Lake,2022,white
Perri,Melnick,Big Bear Lake,2022,white
Kendi,Segovia,Big Bear Lake,2022,hispanic
John,Busch,Biggs,2012,white
Roger,Frith,Biggs,2012,white
Angela,Thompson,Biggs,2014,white
James,Sheppard,Biggs,2014,white
Douglas,Arnold,Biggs,2014,white
Roger,Frith,Biggs,2016,white
Nathan,Wilkinson,Biggs,2016,white
Brian,Bassett,Biggs,2018,white
James,Sheppard,Biggs,2018,white
Angela,Thompson,Biggs,2018,white
Jerome,Squires,Biggs,2020,white
John,Busch,Biggs,2020,white
Chuck,Nuchols,Biggs,2022,white
Brian,Bassett,Biggs,2022,white
James,Sheppard,Biggs,2022,white
Michael,Buck,Biggs,2022,white
Patricia,Gardner,Bishop,2012,white
David,Stottlemyre,Bishop,2012,white
Laura,Smith,Bishop,2012,black
Karen,Schwartz,Bishop,2014,white
Joe,Pecsi,Bishop,2014,white
Patricia,Gardner,Bishop,2016,white
Laura,Smith,Bishop,2016,black
Jim,Ellis,Bishop,2016,white
Stephen,Muchovej,Bishop,2018,white
Karen,Schwartz,Bishop,2018,white
Chris,Costello,Bishop,2018,white
Jose,Garcia,Bishop,2020,hispanic
Karen,Kong,Bishop,2020,asian
Jim,Ellis,Bishop,2020,white
Greg,Sawatzky,Blue Lake,2012,white
Stephen,Kullman,Blue Lake,2012,white
Lana,Manzanita,Blue Lake,2012,white
John,Sawatzky,Blue Lake,2014,white
Jean,Lynch,Blue Lake,2014,white
Adelene,Jones,Blue Lake,2016,black
Barbara,Ricca,Blue Lake,2016,white
Summer,Daugherty,Blue Lake,2016,white
Chris,Curran,Blue Lake,2018,white
Elaine,Hogan,Blue Lake,2018,white
Adelene,Jones,Blue Lake,2020,black
Olivia,Obidah,Blue Lake,2020,black
Summer,Daugherty,Blue Lake,2020,white
Elise,Scafani,Blue Lake,2022,white
Elizabeth,Mackay,Blue Lake,2022,white
Angela,Shull,Blue Lake,2022,white
Alice,Finen,Blue Lake,2022,white
Mike,Evans,Blythe,2011,white
Wayne,Cusick,Blythe,2011,white
