firstname,lastname,city,year,gender
Monica,Wilson,Antioch,2016,female
Joy,Motts,Antioch,2018,female
Lori,Ogorchock,Antioch,2018,female
Tamisha,Walker,Antioch,2020,female
Mike,Barbanica,Antioch,2020,male
Lori,Ogorchock,Antioch,2020,female
Monica,Wilson,Antioch,2020,female
Tamisha,Torres-Walker,Antioch,2022,female
Monica,Wilson,Antioch,2022,female
Art,Bishop,Apple Valley,2012,male
Larry,Cusack,Apple Valley,2012,male
Barb,Stanton,Apple Valley,2014,female
Scott,Nassif,Apple Valley,2014,male
Curt,Emick,Apple Valley,2014,male
Art,Bishop,Apple Valley,2016,male
Larry,Cusack,Apple Valley,2016,male
Curt,Emick,Apple Valley,2018,male
Kari,Leon,Apple Valley,2018,female
Scott,Nassif,Apple Valley,2018,male
Larry,Cusack,Apple Valley,2020,male
Art,Bishop,Apple Valley,2020,male
Kari,Leon,Apple Valley,2022,female
Curt,Emick,Apple Valley,2022,male
Peter,Amundson,ARCADIA,2010,male
Bob,Harbicht,ARCADIA,2010,male
Mark,Segal,ARCADIA,2010,male
John,Wou,Arcadia,2012,male
Gary,Kovacic,Arcadia,2012,male
Tom,Beck,Arcadia,2014,male
Sho,Tay,Arcadia,2014,male
Roger,Chandler,Arcadia,2014,male
Peter,Amundson,Arcadia,2016,male
April,Verlato,Arcadia,2016,female
Tom,Beck,Arcadia,2018,male
Roger,Chandler,Arcadia,2018,male
Paul,Cheng,Arcadia,2020,male
April,Verlato,Arcadia,2020,female
Sharon,Kwan,Arcadia,2022,male
Eileen,Wang,Arcadia,2022,female
Michael,Cao,Arcadia,2022,male
Alex,Stillman,ARCATA,2010,female
Mark,Wheetley,ARCATA,2010,male
Susan,Ornelas,Arcata,2012,female
Michael,Winkler,Arcata,2012,male
Shane,Brinton,Arcata,2012,male
Susan,Ornelas,Arcata,2016,female
Michael,Winkler,Arcata,2016,male
Paul,Pitino,Arcata,2016,male
Sofia,Pereire,Arcata,2018,female
Brett,Watson,Arcata,2018,male
Stacy,Atkins-Salazar,Arcata,2020,female
Emily,Goldstein,Arcata,2020,female
Sarah,Schaefer,Arcata,2020,female
Alexandra,Stillman,Arcata,2022,female
Meredith,Matthews,Arcata,2022,female
Kimberley,White,Arcata,2022,female
Sofia,Pereira,Arcata City,2014,female
Mark,Wheetley,Arcata City,2014,male
Paul,Pitino,Arcata City,2014,male
Joel,Archer,ARDEN ARCADE - PROPOSED,2010,male
Jay,Boatwright,ARDEN ARCADE - PROPOSED,2010,male
Patricia,Cole,ARDEN ARCADE - PROPOSED,2010,female
Matt,Gray,ARDEN ARCADE - PROPOSED,2010,male
Warren,Harding,ARDEN ARCADE - PROPOSED,2010,male
Anthony,Hernandez,ARDEN ARCADE - PROPOSED,2010,male
Mary,Ose,ARDEN ARCADE - PROPOSED,2010,female
Tim,Brown,ARROYO GRANDE,2010,male
Joe,Costello,ARROYO GRANDE,2010,male
Barbara,Harmon,Arroyo Grande,2014,female
Tim,Brown,Arroyo Grande,2014,male
Caren,Ray,Arroyo Grande,2016,female
Kristen,Barneich,Arroyo Grande,2016,female
Jimmy,Paulding,Arroyo Grande,2018,male
Keith,Storton,Arroyo Grande,2018,male
Kathleen,Secrest,Arroyo Grande,2022,female
James,Guthrie,Arroyo Grande,2022,male
Sally,Flowers,Artesia,2013,female
Ali,Taj,Artesia,2013,male
Victor,Manalo,Artesia,2013,male
Melissa,Ramoso,Artesia,2018,female
Ali,Taj,Artesia,2018,male
Rene,Trevino,Artesia,2018,female
Monica,Manalo,Artesia,2020,female
Tony,Lima,Artesia,2020,male
Melissa,Ramoso,Artesia,2022,female
Ali,Taj,Artesia,2022,male
Rene,Trevino,Artesia,2022,female
Jose,Flores,ARVIN,2010,male
Steven,Ojeda,ARVIN,2010,male
Toni,Pichardo,ARVIN,2010,female
Jose,Gurrola Jr.,Arvin,2012,male
Jazmin,Robles,Arvin,2014,female
Jess,Ortiz,Arvin,2014,male
Erika,Madrigal,Arvin,2014,female
Gabriela,Martinez,Arvin,2016,female
Mark,Franetovich,Arvin,2018,male
Jazmin,Robles,Arvin,2018,female
Olivia,Trujillo,Arvin,2018,female
Daniel,"Borreli, Jr.",Arvin,2020,male
Susana,Reyes,Arvin,2022,female
Donny,Horton,Arvin,2022,male
Juan,Murillo,Arvin,2022,female
Tom,O'Malley,ATASCADERO,2010,male
Brian,Sturtevant,ATASCADERO,2010,female
Roberta,Fonzi,Atascadero,2012,female
Bob,Kelley,Atascadero,2012,male
Heather,Moreno,Atascadero,2014,female
Brian,Sturtevant,Atascadero,2014,female
Roberta,Fonzi,Atascadero,2016,female
Charles,Bourbeau,Atascadero,2016,male
Susan,Funk,Atascadero,2018,female
Heather,Newsom,Atascadero,2018,female
Mark,Dariz,Atascadero,2020,male
Charles,Bourbeau,Atascadero,2020,male
Heather,Newsom,Atascadero,2022,female
Susan,Funk,Atascadero,2022,female
Jerry,Carlson,ATHERTON,2010,male
Jim,Dobbie,ATHERTON,2010,male
Bill,Widmer,ATHERTON,2010,male
Elizabeth,Lewis,Atherton,2012,female
Cary,Wiest,Atherton,2012,male
Rick,Degolia,Atherton,2013,male
Rick,Degolia,Atherton,2014,male
Mike,Lempres,Atherton,2014,male
Bill,Widmer,Atherton,2014,male
Diana,Hawkins-Manuelian,Atherton,2020,female
Elizabeth,Lewis,Atherton,2020,female
Rick,Degolia,Atherton,2022,male
Bill,Widmer,Atherton,2022,male
Stacy,Holland,Atherton,2022,female
Craig,Mooneyham,ATWATER,2010,male
Jeff,Rivero,ATWATER,2010,male
Larry,Bergman,Atwater,2012,male
Joe,Rivero,Atwater,2012,male
Brian,Raymond,Atwater,2014,female
James,Vineyard,Atwater,2014,male
Cindy,Vierra,Atwater,2016,female
Paul,Creighton,Atwater,2016,male
Danny,Ambriz,Atwater,2018,male
Brian,Raymond,Atwater,2018,female
John,Cale,Atwater,2020,male
Danny,Ambriz,Atwater,2022,male
Brian,Raymond,Atwater,2022,female
Kevin,Hanley,AUBURN,2010,male
Mike,Holmes,AUBURN,2010,male
Bridget,Powers,AUBURN,2010,female
Keith,Nesbitt,Auburn,2012,male
Bill,Kirby,Auburn,2012,male
Matt,Spokely,Auburn,2014,male
Bridget,Powers,Auburn,2014,female
Daniel,Berlant,Auburn,2014,male
Cheryl,Maki,Auburn,2016,female
Bill,Kirby,Auburn,2016,male
Sandra,Amara,Auburn,2018,female
Daniel,Berlant,Auburn,2018,male
Matt,Spokely,Auburn,2018,male
Rachel,Radell-Harris,Auburn,2020,female
Alice,Calvillo,Auburn,2020,female
Sandra,Amara,Auburn,2022,female
Daniel,Berlant,Auburn,2022,male
Mike,Holmes,Auburn,2022,male
Ralph,"Morrow, Jr.",AVALON,2010,male
Michael,Ponce,AVALON,2010,male
Richard,Hernandez,Avalon,2012,male
Oley,Olsen,Avalon,2012,male
Cinde,MacGugan-Cassidy,Avalon,2014,female
Joe,Sampson,Avalon,2014,male
Richard,Hernandez,Avalon,2016,male
W.F.,Olsen,Avalon,2016,male
Pam,Albers,Avalon,2018,female
Cinde,Macgugan-Cassidy,Avalon,2018,female
Yesenia,De La Rosa,Avalon,2020,female
Lisa,Lavelle,Avalon,2020,female
Michael,Ponce,Avalon,2020,male
Mary,Shickling,Avalon,2022,female
Big,"Gravelle, Jr.",AVENAL,2010,male
Alvaro,Preciado,AVENAL,2010,male
Martin,Maldonado,Avenal,2012,male
W.L.,Woolley,Avenal,2012,male
Harlin,Casida,Avenal,2012,female
Glenda,Wooley,Avenal,2016,female
Rosa,Moreno,Avenal,2016,female
Dagoberto,Ovalle,Avenal,2016,male
Pablo,Hernandez,Avenal,2018,male
Alvaro,Preciado,Avenal,2018,male
Louis,"Gravelle, Jr.",Avenal,2020,male
Ricardo,Verdugo,Avenal,2020,male
Alex,Ramirez,Avenal,2020,male
Alvaro,Preciado,Avenal,2022,male
Pablo,Hernandez,Avenal,2022,male
Angel,Carrillo,Azusa,2011,male
Uriel,Macias,Azusa,2011,male
Robert,Gonzales,Azusa,2013,male
Edward,Alvarez,Azusa,2013,male
Uriel,Macias,Azusa,2015,male
Angel,Carrillo,Azusa,2015,male
Edward,Alvarez,Azusa,2017,male
Robert,Gonzales,Azusa,2017,male
Jesse,Avila,Azusa,2020,male
Uriel,Macias,Azusa,2020,male
Andrew,Mendez,Azusa,2022,male
Edward,Alvarez,Azusa,2022,male
Dennis,Beckwith,Azusa,2022,male
Rudy,"Salas, Jr.",BAKERSFIELD,2010,male
Ken,Weir,BAKERSFIELD,2010,male
David,Couch,BAKERSFIELD,2010,male
Russell,Johnson,BAKERSFIELD,2010,male
Terry,Maxwell,Bakersfield,2012,male
Bob,Smith,Bakersfield,2012,male
Harold,Hanson,Bakersfield,2012,male
Jacquie,Sullivan,Bakersfield,2012,female
P.,Rivera,Bakersfield,2013,male
"P.""Willie""",Rivera,Bakersfield,2014,male
Ken,Weir,Bakersfield,2014,male
Bob,Smith,Bakersfield,2014,male
Chris,Parlier,Bakersfield,2014,male
Andrae,Gonzalez,Bakersfield,2016,male
Jeff,Tkac,Bakersfield,2016,male
Jacquie,Sullivan,Bakersfield,2016,female
Bruce,Freeman,Bakersfield,2017,male
P.,Rivera,Bakersfield,2018,male
Ken,Weir,Bakersfield,2018,male
Bob,Smith,Bakersfield,2018,male
Chris,Parlier,Bakersfield,2018,male
Patty,Gray,Bakersfield,2020,female
Eric,Arias,Bakersfield,2020,male
Andrae,Gonzales,Bakersfield,2020,male
Bruce,Freeman,Bakersfield,2020,male
Eric,Arias,Bakersfield,2022,male
Ken,Weir,Bakersfield,2022,male
Bob,Smith,Bakersfield,2022,male
Manpreet,Kaur,Bakersfield,2022,female
Monica,Garcia,Baldwin Park,2011,female
Ricardo,Pacheco,Baldwin Park,2011,male
Cruz,Baca,Baldwin Park,2013,female
Susan,Rubio,Baldwin Park,2013,female
Ricardo,Pacheco,Baldwin Park,2015,male
Alejandra,Avila,Baldwin Park,2018,female
Paul,Hernandez,Baldwin Park,2018,male
Daniel,Damian,Baldwin Park,2020,male
Monica,Garcia,Baldwin Park,2020,female
Alejandra,Avila,Baldwin Park,2022,female
Jean,Ayala,Baldwin Park,2022,female
Bob,Botts,BANNING,2010,male
Deborah,Franklin,BANNING,2010,female
Don,Peterson,Banning,2012,male
Art,Welch,Banning,2012,male
Edward,Miller,Banning,2012,male
George,Moyer,Banning,2014,male
Deborah,Franklin,Banning,2014,female
Daniela,Andrade,Banning,2016,female
Don,Peterson,Banning,2016,male
Art,Welch,Banning,2016,male
David,Happe,Banning,2018,male
Colleen,Wallace,Banning,2018,female
Alberto,Sanchez,Banning,2020,male
Mary,Hamlin,Banning,2020,female
Kyle,Pingree,Banning,2020,male
Reuben,Gonzales,Banning,2022,male
Colleen,Wallace,Banning,2022,female
Sheri,Flynn,Banning,2022,female
Julie,Hackbarth-McIntyre,BARSTOW,2010,female
Tim,Silva,BARSTOW,2010,male
Rich,Harpole,Barstow,2012,male
Carmen,Hernandez,Barstow,2012,female
Timothy,Silva,Barstow,2014,male
Merrill,Gracey,Barstow,2014,male
Tim,Silva,Barstow,2018,male
James,Noble,Barstow,2018,male
Barbara,Rose,Barstow,2020,female
Marilyn,Kruse,Barstow,2020,female
Carmen,Hernandez,Barstow,2022,female
James,Noble,Barstow,2022,male
Roger,Berg,BEAUMONT,2010,male
David,Castaldo,BEAUMONT,2010,male
Brian,De Forge,BEAUMONT,2010,female
Brenda,Knight,Beaumont,2012,female
Jeff,Fox,Beaumont,2012,male
Mark,Orozco,Beaumont,2014,male
Lloyd,White,Beaumont,2014,male
Mike,Lara,Beaumont,2014,male
Nancy,Carroll,Beaumont,2016,female
Julio,Martinez,Beaumont,2016,male
Mike,Lara,Beaumont,2018,male
Rey,Santos,Beaumont,2018,male
Lloyd,White,Beaumont,2018,male
David,Fenn,Beaumont,2020,male
Julio,Martinez,Beaumont,2020,male
Mike,Lara,Beaumont,2022,male
Lloyd,White,Beaumont,2022,male
Jessica,Voigt,Beaumont,2022,female
Ali,Saleh,Bell,2011,male
Nestor,Valencia,Bell,2011,male
Violeta,Alvarez,Bell,2011,female
Ana,Quintana,Bell,2011,female
Danny,Harber,Bell,2011,male
Ana,Quintana,Bell,2013,female
Alicia,Romero,Bell,2013,female
Ali,Saleh,Bell,2015,male
Fidencio,Gallardo,Bell,2015,male
Nestor,Valencia,Bell,2015,male
Ana,Quintana,Bell,2017,female
Alicia,Romero,Bell,2017,female
Monica,Arroyo,Bell,2020,female
Ali,Saleh,Bell,2020,male
Fidencio,Gallardo,Bell,2020,male
Ana,Quintana,Bell,2022,female
Alicia,Romero,Bell,2022,female
Jennifer,Rodriguez,Bell Gardens,2011,female
Pedro,Aceituno,Bell Gardens,2011,male
Daniel,Crespo,Bell Gardens,2013,male
Priscilla,Flores,Bell Gardens,2013,female
Jose,Mendoza,Bell Gardens,2013,male
Marco,Barcena,Bell Gardens,2018,male
Alejandra,Cortez,Bell Gardens,2018,female
Lisseth,Flores,Bell Gardens,2018,female
Jorgel,Chavez,Bell Gardens,2020,male
Maria,Pulido,Bell Gardens,2020,female
Alejandra,Cortez,Bell Gardens,2022,female
Marco,Barcena,Bell Gardens,2022,male
Francis,Sanchez,Bell Gardens,2022,male
C.,Santa Ines,Bellflower,2011,male
Raymond,Dunton,Bellflower,2011,male
Randy,Bomgaars,Bellflower,2011,male
Dan,Koops,Bellflower,2013,female
Scott,Larsen,Bellflower,2013,male
Ron,Schnablegger,Bellflower,2013,male
Juan,Garza,Bellflower,2017,female
Dan,Koops,Bellflower,2017,female
Victor,Sanchez,Bellflower,2020,male
Raymond,Hamada,Bellflower,2022,male
Ray,Dunton,Bellflower,2022,male
David,Braunstein,Belmont,2011,male
Christine,Wozniak,Belmont,2011,female
Eric,Reed,Belmont,2013,male
Charles,Stone,Belmont,2013,male
Warren,Lieberman,Belmont,2013,male
Doug,Kim,Belmont,2015,male
Davina,Hurt,Belmont,2015,female
Warren,Lieberman,Belmont,2018,male
Julia,Mates,Belmont,2018,female
Charles,Stone,Belmont,2018,male
Davina,Hurt,Belmont,2020,female
Tom,McCune,Belmont,2020,male
Gina,Latimerlo,Belmont,2022,female
Robin,Pang-Maganaris,Belmont,2022,female
Siavash,Barmand,BELVEDERE,2010,male
Thomas,Cromwell,BELVEDERE,2010,male
Bob,McCaskill,Belvedere,2012,male
Claire,McAuliffe,Belvedere,2012,female
Sandra,Donnell,Belvedere,2012,female
James,Campbell,Belvedere,2014,male
Bob,McCaskill,Belvedere,2016,male
Claire,McAuliffe,Belvedere,2016,female
Nancy,Kemnitzer,Belvedere,2016,female
James,Campbell,Belvedere,2018,male
Steve,Block,Belvedere,2020,male
James,Lynch,Belvedere,2020,male
Nancy,Kemnitzer,Belvedere,2020,female
Peter,Mark,Belvedere,2022,male
Jane,Cooper,Belvedere,2022,female
Sally,Wilkinson,Belvedere,2022,female
Tom,Campbell,Benicia,2011,male
Christina,Strawbridge,Benicia,2011,female
Mark,Hughes,Benicia,2014,male
Alan,Schwartzman,Benicia,2014,female
Steve,Young,Benicia,2016,male
Tom,Campbell,Benicia,2016,male
Lionel,Largaespada,Benicia,2018,male
Christina,Strawbridge,Benicia,2018,female
Trevor,Macenski,Benicia,2020,male
Tom,Campbell,Benicia,2020,male
Terry,Scott,Benicia,2022,male
Kari,Birdseye,Benicia,2022,female
Linda,Maio,Berkeley,2010,female
Jesse,Arreguin,Berkeley,2010,male
Kriss,Worthington,Berkeley,2010,male
Gordon,Wozniak,Berkeley,2010,male
Darryl,Moore,Berkeley,2012,male
Max,Anderson,Berkeley,2012,male
Laurie,Capitelli,Berkeley,2012,female
Susan,Wengraf,Berkeley,2012,female
Linda,Maio,Berkeley,2014,female
Jesse,Arreguin,Berkeley,2014,male
Kriss,Worthington,Berkeley,2014,male
Lori,Droste,Berkeley,2014,female
Darryl,Moore,Berkeley,2016,male
Ben,Bartlett,Berkeley,2016,male
Sophie,Hahn,Berkeley,2016,female
Susan,Wengraf,Berkeley,2016,female
Kate,Harrison,Berkeley,2017,female
Rashi,Kesarwani,Berkeley,2018,female
Kate,Harrison,Berkeley,2018,female
Rigel,Robinson,Berkeley,2018,male
Lori,Droste,Berkeley,2018,female
Terry,Taplin,Berkeley,2020,male
Ben,Bartlett,Berkeley,2020,male
Sophie,Hahn,Berkeley,2020,female
Susan,Wengraf,Berkeley,2020,female
Rashi,Kesarwani,Berkeley,2022,female
Kate,Harrison,Berkeley,2022,female
Rigel,Robinson,Berkeley,2022,male
Mark,Humbert,Berkeley,2022,male
Lili,Bosse,Beverly Hills,2011,female
Julian,Gold,Beverly Hills,2011,female
John,Mirisch,Beverly Hills,2013,male
William,Brien,Beverly Hills,2013,male
Nancy,Krasne,Beverly Hills,2013,female
Les,Friedman,Beverly Hills,2017,male
John,Mirisch,Beverly Hills,2017,male
Robert,Wunderlich,Beverly Hills,2017,male
Lili,Bosse,Beverly Hills,2020,female
Julian,Gold,Beverly Hills,2020,female
Lester,Friedman,Beverly Hills,2022,male
Sharona,Nazarian,Beverly Hills,2022,female
John,Mirisch,Beverly Hills,2022,male
David,Caretto,BIG BEAR LAKE,2010,male
Rick,Herrick,BIG BEAR LAKE,2010,male
Jay,Obernolte,BIG BEAR LAKE,2010,male
Robert,Jackowksi,Big Bear Lake,2012,male
William,Jahn,Big Bear Lake,2012,male
Alan,Lee,Big Bear Lake,2020,female
Bynette,Mote,Big Bear Lake,2020,female
Rick,Herrick,Big Bear Lake,2022,male
Randall,Putz,Big Bear Lake,2022,male
Perri,Melnick,Big Bear Lake,2022,female
Kendi,Segovia,Big Bear Lake,2022,female
John,Busch,Biggs,2012,male
Roger,Frith,Biggs,2012,male
Angela,Thompson,Biggs,2014,female
James,Sheppard,Biggs,2014,male
Douglas,Arnold,Biggs,2014,male
Roger,Frith,Biggs,2016,male
Nathan,Wilkinson,Biggs,2016,female
Brian,Bassett,Biggs,2018,female
James,Sheppard,Biggs,2018,male
Angela,Thompson,Biggs,2018,female
Jerome,Squires,Biggs,2020,male
John,Busch,Biggs,2020,male
Chuck,Nuchols,Biggs,2022,male
Brian,Bassett,Biggs,2022,female
James,Sheppard,Biggs,2022,male
Michael,Buck,Biggs,2022,male
Patricia,Gardner,Bishop,2012,female
David,Stottlemyre,Bishop,2012,male
Laura,Smith,Bishop,2012,female
Karen,Schwartz,Bishop,2014,female
Joe,Pecsi,Bishop,2014,male
Patricia,Gardner,Bishop,2016,female
Laura,Smith,Bishop,2016,female
Jim,Ellis,Bishop,2016,male
Stephen,Muchovej,Bishop,2018,male
Karen,Schwartz,Bishop,2018,female
Chris,Costello,Bishop,2018,male
Jose,Garcia,Bishop,2020,male
Karen,Kong,Bishop,2020,female
Jim,Ellis,Bishop,2020,male
Greg,Sawatzky,Blue Lake,2012,male
Stephen,Kullman,Blue Lake,2012,male
Lana,Manzanita,Blue Lake,2012,female
John,Sawatzky,Blue Lake,2014,male
Jean,Lynch,Blue Lake,2014,female
Adelene,Jones,Blue Lake,2016,female
Barbara,Ricca,Blue Lake,2016,female
Summer,Daugherty,Blue Lake,2016,female
Chris,Curran,Blue Lake,2018,male
Elaine,Hogan,Blue Lake,2018,female
Adelene,Jones,Blue Lake,2020,female
Olivia,Obidah,Blue Lake,2020,female
Summer,Daugherty,Blue Lake,2020,female
Elise,Scafani,Blue Lake,2022,female
Elizabeth,Mackay,Blue Lake,2022,female
Angela,Shull,Blue Lake,2022,female
Alice,Finen,Blue Lake,2022,female
Mike,Evans,Blythe,2011,male
Wayne,Cusick,Blythe,2011,male
Timothy,Wade,Blythe,2013,male
Joseph,De-Coninck,Blythe,2013,male
Oscar,Galvan,Blythe,2013,male
Dale,Reynolds,Blythe,2015,male
Eric,Egan,Blythe,2015,male
Joseph,De Coninck,Blythe,2017,male
Joseph,"Halby, lll",Blythe,2017,male
Johnny,Rodriguez,Blythe,2017,male
Sam,Burton,Blythe,2020,male
Dale,Reynolds,Blythe,2020,male
Joseph,Deconinck,Blythe,2022,male
Johnny,Rodriguez,Blythe,2022,male
Joseph,"Halby, III",Blythe,2022,male
Bruce,Lathrop,Bradbury,2012,male
Richard,Hale Jr.,Bradbury,2012,male
D.M.,Lewis,Bradbury,2012,male
Don,Campbell,Brawley,2011,male
George,Nava,Brawley,2011,male
Ryan,Kelley,Brawley,2011,female
Sam,Couchman,Brawley,2013,male
Helen,Noriega,Brawley,2013,female
George,Nava,Brawley,2015,male
Donald,Wharton,Brawley,2015,male
Norma,Jauregui,Brawley,2015,female
Sam,Couchman,Brawley,2017,male
Luke,Hamby,Brawley,2017,male
