firstname,lastname,SchoolDistrict,year,gender
Gary,Lym,Alameda Unified,2018,male
Mia,Bonta,Alameda Unified,2018,female
Gary,Lym,Alameda Unified,2022,male
Ryan,Lalonde,Alameda Unified,2022,female
Larry,Lahr,Alan Hancock Joint Community College,2018,male
Patricia,Low,Albany City Office of Education,2012,female
Ron,Rosenbaum,Albany City Office of Education,2012,male
Jacob,Clark,Albany City Unified,2016,male
Kim,Trutane,Albany City Unified,2016,female
Clementina,Durón,Albany City Unified,2018,female
Brian,Doss,Albany City Unified,2018,female
Sara,Hinkley,Albany City Unified,2018,female
Melissa,Boyd,Albany City Unified,2020,female
Veronica,Davidson,Albany City Unified,2020,female
Sadia,Khan,Albany City Unified,2022,female
Ron,Rosenbaum,Albany City Unified,2022,male
Becky,Hopwood,Albany City Unified,2022,female
Charles,Blanchard,Albany Unified,2014,male
Ross,Stapleton-Gray,Albany Unified,2014,male
Paul,Black,Albany Unified,2014,male
Patricia,Rodriguez-Mackintosh,Alhambra Unified,2016,female
Joanne,Chavez,Alhambra Unified,2018,female
Ken,Tang,Alhambra Unified,2020,male
Kaysa,Moreno,Alhambra Unified,2020,female
Marcia,Wilson,Alhambra Unified,2020,male
Fred,Chang,Alhambra Unified,2022,male
Robert,Gin,Alhambra Unified,2022,male
Leticia,Garcia,Alisal Union,2022,female
Robert,Ocampo,Alisal Union,2022,male
Adella,Lujan,ALISAL UNION ELEMENTARY,2010,female
Marcela,Cruz,Alisal Union Elementary,2013,male
Guadalupe,Guzman,Alisal Union Elementary,2013,male
Noemi,Armenta,Alisal Union Elementary,2013,female
Fernando,Mercado,Alisal Union Elementary,2015,male
Guadalupe,Gilpas,Alisal Union Elementary,2015,male
Jose,Jimenez,Alisal Union Elementary,2018,male
Robert,Ocampo,Alisal Union Elementary,2018,male
Guadalupe,Gilpas,Alisal Union Elementary,2020,female
Theoni,Estrella,Alisal Union Elementary-R,2014,female
Hilda,Zacarias,Allan Hancock Joint Community College,2012,female
Tim,Bennett,Allan Hancock Joint Community College,2012,male
Jeffery,Hall,Allan Hancock Joint Community College,2016,male
Dan,Hilker,Allan Hancock Joint Community College,2016,female
Jeff,Hall,Allan Hancock Joint Community College,2020,male
Suzanne,Levy,Allan Hancock Joint Community College,2020,female
Kayode,Kadara,Allensworth Elementary,2020,male
Bill,Mitchell,Alpaugh Unified,2012,male
Kristy,Mitchell,Alpaugh Unified,2012,female
Debra,Gibbs,Alpaugh Unified,2014,female
Bill,Mitchell,Alpaugh Unified,2016,male
Kristy,Mitchell,Alpaugh Unified,2016,female
David,Castodio,Alpaugh Unified,2018,male
James,Atwell,Alpaugh Unified,2018,male
Debra,Gibbs,Alpaugh Unified,2018,female
Araseli,Leal,Alpaugh Unified,2020,female
Rafael,Loera,Alpaugh Unified,2020,male
Kristy,Mitchell,Alpaugh Unified,2022,female
James,Atwell,Alpaugh Unified,2022,male
Debra,Gibbs,Alpaugh Unified,2022,female
Beverly,Caldera,ALPINE COUNTY UNIFIED,2010,female
Walter,Bell,ALPINE COUNTY UNIFIED,2010,male
Tony,Holdridge,ALPINE COUNTY UNIFIED,2010,male
Jane,Starratt,Alpine County Unified,2012,female
Tony,Holdridge,Alpine County Unified,2014,male
Geoffrey,Ellis,Alpine County Unified,2014,male
Amber,Bill,Alpine County Unified,2018,female
Beverly,Crawford,Alpine County Unified,2022,female
Rachael,Brothers,Alpine Unified,2016,male
Amy,Mecak,Alpine Unified,2016,female
Gina,Henke,ALPINE UNION ELEMENTARY,2010,female
Glenn,Dickie,ALPINE UNION ELEMENTARY,2010,male
Eric,Wray,ALPINE UNION ELEMENTARY,2010,male
Joseph,Perricone,Alpine Union Elementary,2012,male
Tim,Caruthers,Alpine Union Elementary,2012,male
Al,Guerra,Alpine Union Elementary,2014,male
Gelnn,Dickie,Alpine Union Elementary,2014,male
Eric,Wray,Alpine Union Elementary,2014,male
Travis,Lyon,Alpine Union Elementary,2016,male
Joseph,Perricone,Alpine Union Elementary,2016,male
Al,Guerra,Alpine Union Elementary,2018,male
Glenn,Dickie,Alpine Union Elementary,2018,male
Eric,Wray,Alpine Union Elementary,2018,male
Travis,Lyon,Alpine Union Elementary,2020,male
Joseph,Perricone,Alpine Union Elementary,2020,male
Al,Guerra,Alpine Union Elementary,2022,male
Glenn,Dickie,Alpine Union Elementary,2022,male
Eric,Wray,Alpine Union Elementary,2022,male
Brad,Buller,Alta Loma,2020,male
Rebecca,Davies,ALTA LOMA ELEMENTARY,2010,female
Sandie,Oerly,ALTA LOMA ELEMENTARY,2010,female
Caryn,Payzant,ALTA LOMA ELEMENTARY,2010,female
Brad,Buller,Alta Loma Elementary,2012,male
David,Roberts,Alta Loma Elementary,2012,male
Rebecca,Davies,Alta Loma Elementary,2014,female
Caryn,Payzant,Alta Loma Elementary,2014,female
Sandie,Oerly,Alta Loma Elementary,2014,female
Rebecca,Davies,Alta Loma Elementary,2018,female
Sandie,Oerly,Alta Loma Elementary,2018,female
Caryn,Payzant,Alta Loma Elementary,2018,female
Eric,Chung,Alta Loma Elementary,2022,male
Rebecca,Davies,Alta Loma Elementary,2022,female
Malinda,Hurley,Alta Loma Elementary,2022,female
Scott,Pham,ALUM ROCK UNION ELEMENTARY,2010,male
Frank,Chavez,ALUM ROCK UNION ELEMENTARY,2010,male
Darcie,Green,ALUM ROCK UNION ELEMENTARY,2010,female
Karen,Martinez,Alum Rock Union Elementary,2012,female
Dolores,Marquez,Alum Rock Union Elementary,2012,female
Khanh,Tran,Alum Rock Union Elementary,2014,male
Andres,Quintero,Alum Rock Union Elementary,2014,male
Esau,Herrera,Alum Rock Union Elementary,2014,male
Dolores,Marquez,Alum Rock Union Elementary,2016,female
Karen,Martinez,Alum Rock Union Elementary,2016,female
Andres,Quintero,Alum Rock Union Elementary,2018,male
Linda,Chavez,Alum Rock Union Elementary,2018,female
Ernesto,Bejarano,Alum Rock Union Elementary,2018,male
Scott,Pham,Alum Rock Union Elementary,2020,male
Corina,Herrera-Loera,Alum Rock Union Elementary,2020,female
Minh,Pham,Alum Rock Union Elementary,2022,male
Andrés,Quintero,Alum Rock Union Elementary,2022,male
Linda,Chávez,Alum Rock Union Elementary,2022,female
Ernesto,Bejarno,Alum Rock Union Elementary,2022,male
Tom,Fry,ALVIEW - DAIRYLAND UNION ELEMENTARY,2010,male
Kelsey,Bruecker,ALVIEW - DAIRYLAND UNION ELEMENTARY,2010,female
Gary,Schoonhoven,ALVIEW - DAIRYLAND UNION ELEMENTARY,2010,male
Ben,"Johnson, II",Alvord Unified,2011,male
Carolyn,Wilson,Alvord Unified,2011,female
Julie,Moreno,Alvord Unified,2014,female
Art,Kaspereen,Alvord Unified,2014,male
Robert,Schwandt,Alvord Unified,2014,male
Lizeth,Vega,Alvord Unified,2018,female
Julie,Moreno,Alvord Unified,2018,female
Joanna,Dorado,Alvord Unified,2018,female
Robert,Schwandt,Alvord Unified,2018,male
Carolyn,Wilson,Alvord Unified,2020,female
Georgina,Ramirez,Alvord Unified,2022,female
Joel,Mottishaw,Amador County Unified,2014,male
Bob,Laurent,Amador County Unified,2014,male
Rose,Andrews-Oneto,Amador County Unified,2014,female
Susan,Ross,Amador County Unified,2016,female
Janet,White,Amador County Unified,2016,female
James,Marzano,Amador County Unified,2018,male
Deborah,Pulskamp,Amador County Unified,2018,female
Kandi,Thompson,Amador County Unified,2018,female
James,Whitaker,Amador County Unified,2020,male
Julia,Burns,Amador County Unified,2020,female
Shane,Crowe,Amador County Unified,2022,female
Kayla,Parker,Amador County Unified,2022,female
Neil,Amaral,AMERICAN UNION ELEMENTARY,2010,male
Kenny,White,AMERICAN UNION ELEMENTARY,2010,male
Anna,Campbell,AMERICAN UNION ELEMENTARY,2010,female
Jose,Moreno,ANAHEIM CITY,2010,male
Jeff,Cole,ANAHEIM CITY,2010,male
Sandy,Blumberg,ANAHEIM CITY,2010,female
Ryan,Ruelas,Anaheim City Elementary,2014,female
David,Heywood,Anaheim City Elementary,2014,male
Jeff,Cole,Anaheim City Elementary,2014,male
James,Vanderbilt,Anaheim Elementary,2012,male
Bob,Gardner,Anaheim Elementary,2012,male
Jackie,Felbeck,Anaheim Elementary,2016,female
Mark,Lopez,Anaheim Elementary,2018,male
Juan,Alvarez,Anaheim Elementary,2018,female
Ryan,Ruelas,Anaheim Elementary,2018,female
Jose,Magcalas,Anaheim Elementary,2020,male
Jan,Domene,ANAHEIM UNION HIGH,2010,female
Jordan,Brandman,ANAHEIM UNION HIGH,2010,female
Anna,Piercy,ANAHEIM UNION HIGH,2010,female
Annemarie,Randle-Trejo,Anaheim Union High,2012,female
Brian,O'Neal,Anaheim Union High,2012,female
Katherine,Smith,Anaheim Union High,2012,female
Annemarie,Randle-Trejo,Anaheim Union High,2014,female
Al,Jabbar,Anaheim Union High,2014,male
Annemarie,Randle-Trejo,Anaheim Union High,2018,female
Al,Jabbar,Anaheim Union High,2018,male
Anna,Piercy,Anaheim Union High,2018,female
Jessica,Guerrero,Anaheim Union High,2022,female
Karl,Stemmler Jr.,Anderson Union High,2012,male
Butch,Schaeffer,Anderson Union High,2012,male
Butch,Schaefer,Anderson Union High,2016,male
Cindy,Trotter-Hogue,Anderson Union High,2016,female
Ron,Brown,Anderson Union High,2018,male
Joseph,Gibson,Anderson Union High,2018,male
Patricia,Fuller,Anderson Union High,2018,female
"""Butch""",Schaefer,Anderson Union High,2020,male
Cindy,Trotter-Hogue,Anderson Union High,2020,female
Joseph,Gibson,Anderson Union High,2022,male
Jackie,Labarbera,Anderson Union High,2022,female
Staci,Adams,Anderson Union High,2022,female
Dick,Browning,Anderson Valley Unified,2011,male
Ben,Anderson,Anderson Valley Unified,2011,male
Martha,Bradford,Anderson Valley Unified,2011,female
James,Keffer,ANTELOPE ELEMENTARY,2010,male
James,Hickok,ANTELOPE ELEMENTARY,2010,male
Dan,Boone,ANTELOPE ELEMENTARY,2010,female
Brian,Humphrey,ANTELOPE ELEMENTARY,2010,female
Bret,Richards,Antelope Elementary,2014,male
Dan,Boone,Antelope Elementary,2014,female
Patricia,Spangle,Antelope Elementary,2014,female
Bret,Richards,Antelope Union Elementary,2014,male
Patricia,Spangle,Antelope Union Elementary,2014,female
Emily,Smith,Antelope Union Elementary,2014,female
Jack,Seefus,Antelope Valley Community College,2011,male
Lew,Stults,Antelope Valley Community College,2011,male
Steve,Fox,Antelope Valley Community College,2011,male
Barbara,Gaines,Antelope Valley Community College,2013,female
Steve,Buffalo,Antelope Valley Community College,2013,male
Michael,Adams,Antelope Valley Community College,2013,male
Betty,Wienke,Antelope Valley Community College,2013,female
Lew,Stults,Antelope Valley Community College,2015,male
Laura,Herman,Antelope Valley Community College,2015,female
Steve,Buffalo,Antelope Valley Community College,2018,male
Michael,Rives,Antelope Valley Community College,2020,male
Michelle,Harvey,Antelope Valley Community College,2020,female
Steve,Buffalo,Antelope Valley Community College,2022,male
Jill,McGrady,Antelope Valley Joint Union High,2011,female
Donita,Winn,Antelope Valley Joint Union High,2011,female
Dana,Coleman,Antelope Valley Joint Union High,2013,female
R.,Dutton,Antelope Valley Joint Union High,2013,male
Barbara,Willibrand,Antelope Valley Joint Union High,2013,female
Robert,Davis,Antelope Valley Joint Union High,2015,male
Jill,McGrady,Antelope Valley Joint Union High,2015,female
Amanda,Parrell,Antelope Valley Union High,2018,female
Victoria,Ruffin,Antelope Valley Union High,2018,female
Donita,Winn,Antelope Valley Union High,2020,female
Jill,McGrady,Antelope Valley Union High,2020,female
Miguel,Sanchez,Antelope Valley Union High,2022,male
Carla,Corona,Antelope Valley Union High,2022,female
Charles,Hughes,Antelope Valley Union High,2022,male
Gary,Hack,ANTIOCH UNIFIED,2010,male
Joy,Motts,ANTIOCH UNIFIED,2010,female
Barbara,Cowan,Antioch Unified,2012,female
Diane,Gibson-Gray,Antioch Unified,2012,female
Claire,Smith,Antioch Unified,2012,female
Walter,Ruehlig,Antioch Unified,2014,male
Debra,Vinson,Antioch Unified,2014,female
Gary,Hack,Antioch Unified,2016,male
Crystal,Sawyer-White,Antioch Unified,2016,female
Diane,Gibson-Gray,Antioch Unified,2016,female
Mary,Rocha,Antioch Unified,2018,female
Ellie,Householder,Antioch Unified,2018,female
Clyde,Lewis Jr.,Antioch Unified,2020,male
Antonio,Hernandez,Antioch Unified,2020,male
Mary,Rocha,Antioch Unified,2022,female
Richard,Sauers,APPLE VALLEY UNIFIED,2010,male
Lisa,Lawrence,APPLE VALLEY UNIFIED,2010,female
Wilson,So,APPLE VALLEY UNIFIED,2010,male
Donna,Davis,Apple Valley Unified,2012,female
Dennis,Bender,Apple Valley Unified,2012,male
Wilson,So,Apple Valley Unified,2014,male
Richard,Sauers,Apple Valley Unified,2014,male
Lisa,Lawrence,Apple Valley Unified,2014,female
Wilson,So,Apple Valley Unified,2018,male
Maria,Okpara,Apple Valley Unified,2018,female
Rick,Roelle,Apple Valley Unified,2018,male
Adeline,Blasingame,Apple Valley Unified,2020,female
Gary,Arce,Apple Valley Unified,2022,male
Amanda,Buchanan,Apple Valley Unified,2022,female
Fenton,Eng,Arcadia Unified,2017,male
Leigh,Chavez,Arcadia Unified,2017,female
Raymond,Cheung,Arcadia Unified,2020,male
Shirley,Yee,Arcadia Unified,2020,female
Kay,Kinsler,Arcadia Unified,2020,female
Fenton,Eng,Arcadia Unified,2022,male
Leigh,Chavez,Arcadia Unified,2022,female
Brian,Hudgens,Arcata Elementary,2020,female
Melissa,Snow,ARCOHE UNION ELEMENTARY,2010,female
Mindy,McCreery,ARCOHE UNION ELEMENTARY,2010,female
Bobby,Stepps,ARCOHE UNION ELEMENTARY,2010,male
James,Hendricks,Arcohe Union Elementary,2014,male
Bobbie,Stepps,Arcohe Union Elementary,2014,female
Christina,Pearson,Arcohe Union Elementary,2014,female
Bob,Gardiner,Arena Union Elementary,2011,male
Jim,De Wilder,Arena Union Elementary,2011,male
Ron,Miles,Arena Union Elementary,2011,male
M.,Robinson,Arena Union Elementary/Point Arena Joint Union High,2013,female
Robert,Shimon,Arena Union Elementary/Point Arena Joint Union High,2013,male
Cindy,Cione,Arena Union Elementary/Point Arena Joint Union High,2013,female
Leslie,Bates,Arena Union Elementary/Point Arena Joint Union High,2013,female
Ron,Miles,Arena Union/Point Arena Joint,2020,male
Bob,Gardiner,Arena Union/Point Arena Joint,2020,male
Jim,Dewilder,Arena Union/Point Arena Joint,2020,male
Sigrid,Hillscan,Arena Union/Point Arena Joint,2020,female
Miquette,Thompson,Arena Union/Point Arena Joint,2020,female
Sal,Martinez,Arena Union/Point Arena Joint Union High,2018,male
Robert,Shimon,Arena Union/Point Arena Joint Union High,2018,male
Cynthia,Cione,Arena Union/Point Arena Joint Union High,2018,female
Mary,Visher,Arena Union/Point Arena Joint Union High,2018,female
Glenn,Estes,ARMONA UNION ELEMENTARY,2010,male
Ruby,Johnson,ARMONA UNION ELEMENTARY,2010,female
Robert,Ford,ARMONA UNION ELEMENTARY,2010,male
Gus,Amos,Armona Union Elementary,2012,male
Juan,Tafolla,Armona Union Elementary,2014,female
Claudia,Hodson,Armona Union Elementary,2014,female
Gus,Amos,Armona Union Elementary,2016,male
Charles,Steinway,Armona Union Elementary,2016,male
Claudia,Hodson,Armona Union Elementary,2016,female
Jeffrey,Hancock,AROMAS - SAN JUAN UNIFIED,2010,male
Magdalena,Medina,AROMAS - SAN JUAN UNIFIED,2010,female
Lou,Fiori,AROMAS - SAN JUAN UNIFIED,2010,male
Patricia,Rainey,AROMAS - SAN JUAN UNIFIED,2010,female
Bill,Hunter,AROMAS - SAN JUAN UNIFIED,2010,male
Jose,Flores,Aromas/San Juan Unified,2012,male
Monica,Martinez-Guaracha,Aromas/San Juan Unified,2012,female
Jennifer,Colby,Aromas/San Juan Unified,2012,female
Monica,Martinez-Guaracha,Aromas/San Juan Unified,2016,female
Drew,McAlister,Aromas/San Juan Unified,2016,male
Jennifer,Colby,Aromas/San Juan Unified,2016,female
Shary,Greene,Aromas/San Juan Unified,2016,female
Maria,Ramos,Arvin Union,2022,female
Elvira,Moreno,Arvin Union,2022,female
Toni,Pichardo,Arvin Union,2022,female
Janie,Arvizu,ARVIN UNION ELEMENTARY,2010,female
Maria,Ortiz,Arvin Union Elementary,2012,female
Janie,Arvizu,Arvin Union Elementary,2012,female
Anabel,Rubio,Arvin Union Elementary,2014,female
Geri,Rivera,Arvin Union Elementary,2014,female
A.,Pichardo,Arvin Union Elementary,2014,female
Ruth,Harris,Arvin Union Elementary,2016,female
Monica,Franetovich,Arvin Union Elementary,2016,female
Wendy,Gonzalez,Arvin Union Elementary,2020,female
Monica,Franetovich,Arvin Union Elementary,2020,female
Ray,Buban,ATASCADERO UNIFIED,2010,male
Donn,Clickard,ATASCADERO UNIFIED,2010,male
George,Dodge,ATASCADERO UNIFIED,2010,male
Tami,Gunther,ATASCADERO UNIFIED,2010,female
George,Galvan,Atascadero Unified,2012,male
Corinne,Kuhnle,Atascadero Unified,2012,female
Terrie,Switzer,Atascadero Unified,2012,female
Mary,Mills,Atascadero Unified,2014,female
Terri,Switzer,Atascadero Unified,2016,female
Corinne,Kuhnle,Atascadero Unified,2016,female
Mary,Mills,Atascadero Unified,2016,female
Ray,Buban,Atascadero Unified,2018,male
George,Shoemaker,Atascadero Unified,2018,male
Tami,Gunther,Atascadero Unified,2018,female
Donn,Clickard,Atascadero Unified,2018,male
Corinne,Kuhnle,Atascadero Unified,2020,female
Terri,Switzer,Atascadero Unified,2020,female
Mary,Mills,Atascadero Unified,2020,female
Tracy,Ellis-Weit,Atascadero Unified,2022,female
Rebekah,Koznek,Atascadero Unified,2022,female
Vy,Pierce,Atascadero Unified,2022,female
Denise,Kane,Atascadero Unified,2022,female
Larry,Whitney,Atwater Elementary,2012,male
Jessica,Reed,Atwater Elementary,2018,female
Barbara,Dutra,Atwater Elementary,2022,female
Jessica,Reed,Atwater Elementary,2022,female
Michelle,Sierra-Samm,Auburn Union Elementary,2014,female
Julann,Brown,Auburn Union Elementary,2014,female
Deborah,Goodrich,Auburn Union Elementary,2014,female
Sarah,Brichler,Auburn Union Elementary,2020,female
Jamie,Ross,Auburn Union Elementary,2020,female
Jayson,Wedge,Auburn Union Elementary,2022,male
Greg,Holt,Auburn Union Elementary,2022,male
Renee,Dowd,Auburn Union Elementary,2022,female
Yolanda,Pena,Azusa Unified,2011,female
Burke,Hamilton,Azusa Unified,2011,male
Helen,Jaramillo,Azusa Unified,2013,female
Xilonin,Cruz-Gonzalez,Azusa Unified,2013,female
Paul,Naccachian,Azusa Unified,2013,male
Yolanda,Rodreguez-Pena,Azusa Unified,2015,female
Jeri,Bibles-Vogel,Azusa Unified,2015,female
Gabriela,Arellanes,Azusa Unified,2018,female
Xilonin,Cruz-Gonzalez,Azusa Unified,2018,female
Adrian,Greer,Azusa Unified,2018,female
Yolanda,Pena,Azusa Unified,2020,female
Sabrina,Bow,Azusa Unified,2020,female
Sandra,Benavides,Azusa Unified,2022,female
Greg,Seifert,Baker Valley Unified,2013,male
Darlene,Bracken,Baker Valley Unified,2013,female
Nathan,Cranmer,Baker Valley Unified,2013,female
Linda,Maria,Baker Valley Unified,2015,female
Kelly,Fisher,Baker Valley Unified,2015,female
Annie,Price,Baker Valley Unified,2020,female
Anthony,Fuentes,Bakersfield City,2022,male
Laura,Guerrero-Salgado,Bakersfield City,2022,female
Andrae,Gonzales,BAKERSFIELD CITY ELEMENTARY,2010,male
Pamela,Baugher,BAKERSFIELD CITY ELEMENTARY,2010,female
Fred,Haynes,Bakersfield City Elementary,2012,male
Bill,McDougle,Bakersfield City Elementary,2012,male
Michael,Horne,Bakersfield City Elementary,2018,male
Lillian,Tafoya,Bakersfield City Elementary,2020,female
Laura,Guerrero-Salgado,Bakersfield City Elementary,2020,female
Chris,Cruz-Boone,Bakersfield City Elementary,2020,male
Shannon,Zimmerman,Bakersfield City Elementary,2020,male
Blanca,Rubio,Baldwin Park Unified,2011,female
Christina,Lucero,Baldwin Park Unified,2011,female
Jack,White,Baldwin Park Unified,2011,male
Carlos,Lopez,Baldwin Park Unified,2013,male
Teresa,Vargas,Baldwin Park Unified,2013,female
Santos,Hernandez,Baldwin Park Unified,2015,male
Blanca,Rubio,Baldwin Park Unified,2015,female
Christina,Lucero,Baldwin Park Unified,2015,female
Betsabel,Lara,Baldwin Park Unified,2018,male
Robert,Varela,Baldwin Park Unified,2018,male
Deanna,Robles,Baldwin Park Unified,2018,female
Santos,Hernandez,Baldwin Park Unified,2020,male
Christina,Lucero,Baldwin Park Unified,2020,female
Diana,Miranda-Dzib,Baldwin Park Unified,2020,female
Deanna,Robles,Baldwin Park Unified,2022,female
John,De Leon,Baldwin Park Unified,2022,male
David,Watkins,Ballard Elementary,2012,male
Eric,Harcksen,Ballico-Cressey Elementary,2014,male
Thomas,March,Ballico-Cressey Elementary,2014,male
Jana,Nairn,Ballico-Cressey Elementary,2014,female
Alvaro,Arias,Ballico-Cressey Elementary,2022,male
Eric,Harcksen,Ballico-Cressey Elementary,2022,male
Kalli,Spycher,Ballico-Cressey Elementary,2022,female
Alejandro,Cassadas,Banning Unified,2011,male
Larry,Ellis,Banning Unified,2011,male
Ray,Curtis,Banning Unified,2011,male
Jan,Spann,Banning Unified,2013,female
Martha,Bederio,Banning Unified,2013,female
Kerri,Mariner,Banning Unified,2015,female
Jason,Smith,Banning Unified,2017,male
Anne,Price,Banning Unified,2017,female
Mayra,Anguiano,Banning Unified,2019,female
Leslie,Sattler,Banning Unified,2019,female
Laura,Troutman,Banning Unified,2019,female
Shelly,Ruiz,Banning Unified,2022,female
Leslie,Novalis,Banning Unified,2022,female
Frank,Silva,Banta Elementary,2014,male
Joe,Perry,Banta Elementary,2014,male
Patricia,Speer,Banta Elementary,2016,female
Gene,Neely,Banta Elementary,2018,female
Frank,Silva,Banta Elementary,2018,male
Doug,Diestler,Banta Elementary,2020,male
Joshua,Anderson,Banta Elementary,2020,male
Patricia,Speer,Banta Elementary,2020,female
Ted,Baca,Barstow Community College,2016,male
Fernando,Baca,Barstow Community College,2016,male
Paul,Wilkey,Barstow Community College,2016,male
Philip,Harris,Barstow Community College,2018,male
Timothy,Heiden,Barstow Community College,2018,male
Raymond,Perea,BARSTOW UNIFIED,2010,male
Ben,Rosenberg,BARSTOW UNIFIED,2010,male
Mary,Rodriguez,Barstow Unified,2012,female
Julie,Clemmer,Barstow Unified,2012,female
Barbara,Rose,Barstow Unified,2012,female
Barbara,Rose,Barstow Unified,2020,female
Aaron,Heldreth,Barstow Unified,2022,male
Michael,Watson,Barstow Unified,2022,male
Dalene,Stephens,Bass Lake Elementary,2015,female
Julie,Greenwood,Bass Lake Elementary,2016,female
Dalene,Stephens,Bass Lake Joint Union Elementary,2014,female
Ronda,Clarke,Bass Lake Joint Union Elementary,2020,female
Bill,Atwood,Bass Lake Joint Union Elementary,2020,male
Steven,High,Bass Lake Joint Union Elementary,2020,male
Bill,Atwood,Bass Lake Joint Union Elementary,2022,male
Denise,Cudd,Bass Lake Joint Union Elementary,2022,female
Joe,Medina,Bassett Unified,2011,male
Laura,Santos,Bassett Unified,2011,female
Paul,Solano,Bassett Unified,2013,male
Javier,Romo,Bassett Unified,2013,male
Dolores,Rivera,Bassett Unified,2013,female
Armando,Barajas,Bassett Unified,2015,male
Natalie,Ybarra,Bassett Unified,2015,female
Paul,Solano,Bassett Unified,2018,male
Dolores,Rivera,Bassett Unified,2018,female
Patrice,Stanzione,Bassett Unified,2018,female
Armando,Barajas,Bassett Unified,2020,male
Dena,Florez,Bassett Unified,2020,female
Dolores,Rivera,Bassett Unified,2022,female
Aaron,Simental,Bassett Unified,2022,male
Patrice,Stanzione,Bassett Unified,2022,female
Kris,Okamuro,Batrstow Unified,2016,male
Julie,Clemmer,Batrstow Unified,2016,female
Barbara,Rose,Batrstow Unified,2016,female
Al,Waner,BEAR VALLEY UNIFIED,2010,male
